pfam_acc	name	te_order	provenance	why_included
PF12596	87kDa Transposase	TIR/P-element	search:transposase	P-element transposase and the THAP9 domesticated copy of it
PF22824	DNA transposase THAP9, C-terminal domain	TIR/P-element	search:transposase	P-element transposase and the THAP9 domesticated copy of it
PF18717	CxC4 like cysteine cluster associated with KDZ transposases	TIR/KDZ	search:transposase	Kyakuja-Dileera-Zisupton transposases and the CxC cysteine clusters that accompany them
PF18718	CxC5 like cysteine cluster associated with KDZ transposases	TIR/KDZ	search:transposase	Kyakuja-Dileera-Zisupton transposases and the CxC cysteine clusters that accompany them
PF18721	CxC6 like cysteine cluster associated with KDZ transposases	TIR/KDZ	search:transposase	Kyakuja-Dileera-Zisupton transposases and the CxC cysteine clusters that accompany them
PF18758	Kyakuja-Dileera-Zisupton transposase	TIR/KDZ	clan:CL0219	Kyakuja-Dileera-Zisupton transposases and the CxC cysteine clusters that accompany them
PF18759	Plavaka transposase	TIR/KDZ	clan:CL0219	Kyakuja-Dileera-Zisupton transposases and the CxC cysteine clusters that accompany them
PF18802	CxC1 like cysteine cluster associated with KDZ transposases	TIR/KDZ	search:transposase	Kyakuja-Dileera-Zisupton transposases and the CxC cysteine clusters that accompany them
PF18803	CxC2 like cysteine cluster associated with KDZ transposases	TIR/KDZ	search:transposase	Kyakuja-Dileera-Zisupton transposases and the CxC cysteine clusters that accompany them
PF18804	CxC3 like cysteine cluster associated with KDZ transposases	TIR/KDZ	search:transposase	Kyakuja-Dileera-Zisupton transposases and the CxC cysteine clusters that accompany them
PF18866	CxC7 like cysteine cluster associated with KDZ transposases	TIR/KDZ	search:transposase	Kyakuja-Dileera-Zisupton transposases and the CxC cysteine clusters that accompany them
PF13952	Domain of unknown function (DUF4216)	RC/Helitron	manual	Helitron helicase-like domain and the Helitron-associated DUF4216, which is in no clan. Rolling-circle transposition leaves no DDE core, so these are the only catalytic evidence
PF14214	Helitron helicase-like domain at N-terminus	RC/Helitron	clan:CL0169	Helitron helicase-like domain and the Helitron-associated DUF4216, which is in no clan. Rolling-circle transposition leaves no DDE core, so these are the only catalytic evidence
PF18106	Rolling Circle replication initiation protein N-terminal domain	RC	search:rolling circle	HUH endonuclease of Replitrons and the rolling-circle initiator fold they share
PF21859	Replitron, HUH endonuclease domain	RC	clan:CL0169	HUH endonuclease of Replitrons and the rolling-circle initiator fold they share
PF03732	Retrotransposon-derived protein PEG10, N-terminal capsid-like domain	domesticated	clan:CL0523	host gene built from a retroelement gag. Same caveat: TE ancestry, not necessarily a live element
PF14291	ZMYM1/FAM200, RNase-like domain	domesticated	clan:CL0219	host gene built from a transposase. A hit means TE ancestry, which may be a live element *or* a domesticated gene — the curator decides which, and the sheet must not
PF14893	PNMA-like, C-terminal domain	domesticated	clan:CL0523	host gene built from a retroelement gag. Same caveat: TE ancestry, not necessarily a live element
PF16297	RTL1/3-8/LDOC, capsid-like domain	domesticated	clan:CL0523	host gene built from a retroelement gag. Same caveat: TE ancestry, not necessarily a live element
PF18162	Arc C-lobe	domesticated	clan:CL0523	host gene built from a retroelement gag. Same caveat: TE ancestry, not necessarily a live element
PF21395	Activity-regulated cytoskeleton-associated protein, N-lobe	domesticated	clan:CL0523	host gene built from a retroelement gag. Same caveat: TE ancestry, not necessarily a live element
PF26100	Recombination-activation protein 1 (RAG1) RNase H domain	domesticated	clan:CL0219	host gene built from a transposase. A hit means TE ancestry, which may be a live element *or* a domesticated gene — the curator decides which, and the sheet must not
PF27039	ZBED1 RNase-like helical domain	domesticated	clan:CL0219	host gene built from a transposase. A hit means TE ancestry, which may be a live element *or* a domesticated gene — the curator decides which, and the sheet must not
PF27041	ZBED1 RNase-like domain	domesticated	clan:CL0219	host gene built from a transposase. A hit means TE ancestry, which may be a live element *or* a domesticated gene — the curator decides which, and the sheet must not
PF27046	FAM200/GTF2IRD2 helical domain	domesticated	clan:CL0219	host gene built from a transposase. A hit means TE ancestry, which may be a live element *or* a domesticated gene — the curator decides which, and the sheet must not
PF27073	FAM200/ZBED5 RNase-like	domesticated	clan:CL0219	host gene built from a transposase. A hit means TE ancestry, which may be a live element *or* a domesticated gene — the curator decides which, and the sheet must not
PF29000	Retrotransposon-like protein N-terminal domain	domesticated	search:transposon	host gene built from a retroelement gag. Same caveat: TE ancestry, not necessarily a live element
PF29013	Retrotransposon-like protein 1 C-terminal domain	domesticated	search:transposon	host gene built from a retroelement gag. Same caveat: TE ancestry, not necessarily a live element
PF30901	PEG10/RTL1, C-terminal capsid-like domain	domesticated	clan:CL0523	host gene built from a retroelement gag. Same caveat: TE ancestry, not necessarily a live element
